lo_id,tags,type,language,requires_mastery,pedagogical_weight,duration_min,accuracy
b1924,179|66|53|185|52,question,en,0.0,1.0,0.5,0.5
b7711,-1,question,en,0.0,1.0,0.5,0.5
b7703,-1,question,en,0.0,1.0,0.5,0.5
b7704,-1,question,en,0.0,1.0,0.5,0.5
b7705,-1,question,en,0.0,1.0,0.5,0.5
b7706,-1,question,en,0.0,1.0,0.5,0.5
b7707,-1,question,en,0.0,1.0,0.5,0.5
b7708,-1,question,en,0.0,1.0,0.5,0.5
b7709,-1,question,en,0.0,1.0,0.5,0.5
b7710,-1,question,en,0.0,1.0,0.5,0.5
b7702,-1,question,en,0.0,1.0,0.5,0.5
b7712,-1,question,en,0.0,1.0,0.5,0.5
b7713,-1,question,en,0.0,1.0,0.5,0.5
b7695,-1,question,en,0.0,1.0,0.5,0.5
b7701,-1,question,en,0.0,1.0,0.5,0.5
b7700,-1,question,en,0.0,1.0,0.5,0.5
b7729,-1,question,en,0.0,1.0,0.5,0.5
b7728,-1,question,en,0.0,1.0,0.5,0.5
b7727,-1,question,en,0.0,1.0,0.5,0.5
b7726,-1,question,en,0.0,1.0,0.5,0.5
b7725,-1,question,en,0.0,1.0,0.5,0.5
b7724,-1,question,en,0.0,1.0,0.5,0.5
b7723,-1,question,en,0.0,1.0,0.5,0.5
b7722,-1,question,en,0.0,1.0,0.5,0.5
b7721,-1,question,en,0.0,1.0,0.5,0.5
b7720,-1,question,en,0.0,1.0,0.5,0.5
b7719,-1,question,en,0.0,1.0,0.5,0.5
b7886,-1,question,en,0.0,1.0,0.5,0.5
b7878,-1,question,en,0.0,1.0,0.5,0.5
b7879,-1,question,en,0.0,1.0,0.5,0.5
b7880,-1,question,en,0.0,1.0,0.5,0.5
b7881,-1,question,en,0.0,1.0,0.5,0.5
b7882,-1,question,en,0.0,1.0,0.5,0.5
b7883,-1,question,en,0.0,1.0,0.5,0.5
b7884,-1,question,en,0.0,1.0,0.5,0.5
b7885,-1,question,en,0.0,1.0,0.5,0.5
b7877,-1,question,en,0.0,1.0,0.5,0.5
b7887,-1,question,en,0.0,1.0,0.5,0.5
b1222,181|185|24|43,question,en,0.0,1.0,0.5,0.5
b1224,184|42|30|34|185,question,en,0.0,1.0,0.5,0.5
b1226,183|47|185|46,question,en,0.0,1.0,0.5,0.5
b1231,50|184|185|24,question,en,0.0,1.0,0.5,0.5
b1239,181|185|24|40,question,en,0.0,1.0,0.5,0.5
b1243,28|29|181|183,question,en,0.0,1.0,0.5,0.5
b1213,28|29|181|183,question,en,0.0,1.0,0.5,0.5
b7898,-1,question,en,0.0,1.0,0.5,0.5
b7899,-1,question,en,0.0,1.0,0.5,0.5
b7900,-1,question,en,0.0,1.0,0.5,0.5
b7901,-1,question,en,0.0,1.0,0.5,0.5
b7902,-1,question,en,0.0,1.0,0.5,0.5
b7903,-1,question,en,0.0,1.0,0.5,0.5
b1210,27|24|26|185|181,question,en,0.0,1.0,0.5,0.5
b1212,179|31|32|30|185|181,question,en,0.0,1.0,0.5,0.5
b1244,181|185|34|35,question,en,0.0,1.0,0.5,0.5
b1216,181|183|36|37,question,en,0.0,1.0,0.5,0.5
b1220,42|34|183|185,question,en,0.0,1.0,0.5,0.5
b7872,-1,question,en,0.0,1.0,0.5,0.5
b7873,-1,question,en,0.0,1.0,0.5,0.5
b7874,-1,question,en,0.0,1.0,0.5,0.5
b7875,-1,question,en,0.0,1.0,0.5,0.5
b7876,-1,question,en,0.0,1.0,0.5,0.5
b7842,-1,question,en,0.0,1.0,0.5,0.5
b7870,-1,question,en,0.0,1.0,0.5,0.5
b7871,-1,question,en,0.0,1.0,0.5,0.5
b1256,28|183|30|185|37,question,en,0.0,1.0,0.5,0.5
b1260,41|179|27|24|185|181,question,en,0.0,1.0,0.5,0.5
b1264,183|35|30|34|182,question,en,0.0,1.0,0.5,0.5
b1265,182|184|24|43,question,en,0.0,1.0,0.5,0.5
b1266,45|31|184|182,question,en,0.0,1.0,0.5,0.5
b1267,42|182|34|183,question,en,0.0,1.0,0.5,0.5
b7869,-1,question,en,0.0,1.0,0.5,0.5
b7843,-1,question,en,0.0,1.0,0.5,0.5
b7844,-1,question,en,0.0,1.0,0.5,0.5
b7845,-1,question,en,0.0,1.0,0.5,0.5
b7846,-1,question,en,0.0,1.0,0.5,0.5
b7847,-1,question,en,0.0,1.0,0.5,0.5
b7848,-1,question,en,0.0,1.0,0.5,0.5
b7849,-1,question,en,0.0,1.0,0.5,0.5
b7863,-1,question,en,0.0,1.0,0.5,0.5
b1247,28|183|184|37,question,en,0.0,1.0,0.5,0.5
b1250,41|183|185|24,question,en,0.0,1.0,0.5,0.5
b1252,24|30|185|181|25,question,en,0.0,1.0,0.5,0.5
b7858,-1,question,en,0.0,1.0,0.5,0.5
b7859,-1,question,en,0.0,1.0,0.5,0.5
b7860,-1,question,en,0.0,1.0,0.5,0.5
b7861,-1,question,en,0.0,1.0,0.5,0.5
b7862,-1,question,en,0.0,1.0,0.5,0.5
b7897,-1,question,en,0.0,1.0,0.5,0.5
b7864,-1,question,en,0.0,1.0,0.5,0.5
b7865,-1,question,en,0.0,1.0,0.5,0.5
b7866,-1,question,en,0.0,1.0,0.5,0.5
b7867,-1,question,en,0.0,1.0,0.5,0.5
b7868,-1,question,en,0.0,1.0,0.5,0.5
b1157,183|184|24|25,question,en,0.0,1.0,0.5,0.5
b1134,181|184|26|24,question,en,0.0,1.0,0.5,0.5
b1135,181|183|31|32,question,en,0.0,1.0,0.5,0.5
b1136,181|184|34|35,question,en,0.0,1.0,0.5,0.5
b1139,41|183|181|24,question,en,0.0,1.0,0.5,0.5
b1141,181|184|31|32,question,en,0.0,1.0,0.5,0.5
b1142,50|183|182|24,question,en,0.0,1.0,0.5,0.5
b1153,41|183|24|30|182,question,en,0.0,1.0,0.5,0.5
b1155,184|24|23|182|25,question,en,0.0,1.0,0.5,0.5
b1132,181|184|24|43,question,en,0.0,1.0,0.5,0.5
b1158,184|27|24|40|181,question,en,0.0,1.0,0.5,0.5
b1160,181|184,question,en,0.0,1.0,0.5,0.5
b1162,39|183|184|38,question,en,0.0,1.0,0.5,0.5
b1163,183|30|181|36|37,question,en,0.0,1.0,0.5,0.5
b1164,179|184|24|182|43,question,en,0.0,1.0,0.5,0.5
b1165,181|44|45|184,question,en,0.0,1.0,0.5,0.5
b2037,60|182|52|54|58,question,en,0.0,1.0,0.5,0.5
b8337,58|194|181|56|52,question,en,0.0,1.0,0.5,0.5
b1697,179|183|184|52|55|58,question,en,0.0,1.0,0.5,0.5
b8457,-1,question,en,0.0,1.0,0.5,0.5
b8458,-1,question,en,0.0,1.0,0.5,0.5
b11452,138,question,en,0.0,1.0,0.5,0.5
b5588,179|1|2|183,question,en,0.0,1.0,0.5,0.5
b1127,28|29|184|181,question,en,0.0,1.0,0.5,0.5
b2041,52|183|69|58,question,en,0.0,1.0,0.5,0.5
b2047,179|59|181|56|55|54,question,en,0.0,1.0,0.5,0.5
b1129,181|184|24|25,question,en,0.0,1.0,0.5,0.5
b7890,-1,question,en,0.0,1.0,0.5,0.5
b7910,-1,question,en,0.0,1.0,0.5,0.5
b1191,179|183|46|181|47,question,en,0.0,1.0,0.5,0.5
b1194,184|31|32|30|182,question,en,0.0,1.0,0.5,0.5
b1196,28|179|183|29|182,question,en,0.0,1.0,0.5,0.5
b1197,181|44|45|182,question,en,0.0,1.0,0.5,0.5
b1199,183|36|37|182,question,en,0.0,1.0,0.5,0.5
b7888,-1,question,en,0.0,1.0,0.5,0.5
b7889,-1,question,en,0.0,1.0,0.5,0.5
b7909,-1,question,en,0.0,1.0,0.5,0.5
b5612,181|18|7,question,en,0.0,1.0,0.5,0.5
b7891,-1,question,en,0.0,1.0,0.5,0.5
b7892,-1,question,en,0.0,1.0,0.5,0.5
b7893,-1,question,en,0.0,1.0,0.5,0.5
b7894,-1,question,en,0.0,1.0,0.5,0.5
b7895,-1,question,en,0.0,1.0,0.5,0.5
b7896,-1,question,en,0.0,1.0,0.5,0.5
b7850,-1,question,en,0.0,1.0,0.5,0.5
b7908,-1,question,en,0.0,1.0,0.5,0.5
b7907,-1,question,en,0.0,1.0,0.5,0.5
b7906,-1,question,en,0.0,1.0,0.5,0.5
b7905,-1,question,en,0.0,1.0,0.5,0.5
b7904,-1,question,en,0.0,1.0,0.5,0.5
b11426,109,question,en,0.0,1.0,0.5,0.5
b1184,179|184|31|32|182,question,en,0.0,1.0,0.5,0.5
b1180,179|184|38|39|182,question,en,0.0,1.0,0.5,0.5
b1175,184|27|42|34|182,question,en,0.0,1.0,0.5,0.5
b1173,184|182|34|35,question,en,0.0,1.0,0.5,0.5
b1166,183|182|34|35,question,en,0.0,1.0,0.5,0.5
b5609,182|2|8,question,en,0.0,1.0,0.5,0.5
b5607,7|182|6,question,en,0.0,1.0,0.5,0.5
b7802,-1,question,en,0.0,1.0,0.5,0.5
b7794,-1,question,en,0.0,1.0,0.5,0.5
b7795,-1,question,en,0.0,1.0,0.5,0.5
b7796,-1,question,en,0.0,1.0,0.5,0.5
b7797,-1,question,en,0.0,1.0,0.5,0.5
b7798,-1,question,en,0.0,1.0,0.5,0.5
b7799,-1,question,en,0.0,1.0,0.5,0.5
b7800,-1,question,en,0.0,1.0,0.5,0.5
b7801,-1,question,en,0.0,1.0,0.5,0.5
b1386,183|184|24|43,question,en,0.0,1.0,0.5,0.5
b7803,-1,question,en,0.0,1.0,0.5,0.5
b7804,-1,question,en,0.0,1.0,0.5,0.5
b7805,-1,question,en,0.0,1.0,0.5,0.5
b7806,-1,question,en,0.0,1.0,0.5,0.5
b7807,-1,question,en,0.0,1.0,0.5,0.5
b7808,-1,question,en,0.0,1.0,0.5,0.5
b7809,-1,question,en,0.0,1.0,0.5,0.5
b11377,96,question,en,0.0,1.0,0.5,0.5
b1346,179|183|38|39|30|185,question,en,0.0,1.0,0.5,0.5
b1347,183|24|23|181|33,question,en,0.0,1.0,0.5,0.5
b1350,182|184|33|24,question,en,0.0,1.0,0.5,0.5
b1352,183|182|24|43,question,en,0.0,1.0,0.5,0.5
b1353,181|184|24|40,question,en,0.0,1.0,0.5,0.5
b1357,183|184|34|35,question,en,0.0,1.0,0.5,0.5
b1359,181|50|183|24,question,en,0.0,1.0,0.5,0.5
b1361,181|183|24|25,question,en,0.0,1.0,0.5,0.5
b1390,179|183|35|34|181,question,en,0.0,1.0,0.5,0.5
b11386,75,question,en,0.0,1.0,0.5,0.5
b1362,183|31|32|184,question,en,0.0,1.0,0.5,0.5
b1364,28|179|184|29|182,question,en,0.0,1.0,0.5,0.5
b1367,30|182|181|36|37,question,en,0.0,1.0,0.5,0.5
b1368,183|24|30|181|33,question,en,0.0,1.0,0.5,0.5
b1369,183|36|37|182,question,en,0.0,1.0,0.5,0.5
b1370,181|31|32|182,question,en,0.0,1.0,0.5,0.5
b2022,179|184|67|56|54|58,question,en,0.0,1.0,0.5,0.5
b7793,-1,question,en,0.0,1.0,0.5,0.5
b1394,181|184|34|35,question,en,0.0,1.0,0.5,0.5
b1395,183|31|32|182,question,en,0.0,1.0,0.5,0.5
b1398,183|182|24|40,question,en,0.0,1.0,0.5,0.5
b1401,183|53|185|52|54,question,en,0.0,1.0,0.5,0.5
b7792,-1,question,en,0.0,1.0,0.5,0.5
b5628,185|2|12,question,en,0.0,1.0,0.5,0.5
b5629,181|2|8,question,en,0.0,1.0,0.5,0.5
b5630,183|7|6,question,en,0.0,1.0,0.5,0.5
b1409,183|53|185|52|54,question,en,0.0,1.0,0.5,0.5
b1345,179|183|30|185|46|47,question,en,0.0,1.0,0.5,0.5
b7791,-1,question,en,0.0,1.0,0.5,0.5
b7790,-1,question,en,0.0,1.0,0.5,0.5
b7789,-1,question,en,0.0,1.0,0.5,0.5
b7788,-1,question,en,0.0,1.0,0.5,0.5
b7787,-1,question,en,0.0,1.0,0.5,0.5
b7786,-1,question,en,0.0,1.0,0.5,0.5
b7785,-1,question,en,0.0,1.0,0.5,0.5
b7784,-1,question,en,0.0,1.0,0.5,0.5
b7783,-1,question,en,0.0,1.0,0.5,0.5
b7782,-1,question,en,0.0,1.0,0.5,0.5
b7781,-1,question,en,0.0,1.0,0.5,0.5
b7780,-1,question,en,0.0,1.0,0.5,0.5
b7779,-1,question,en,0.0,1.0,0.5,0.5
b7778,-1,question,en,0.0,1.0,0.5,0.5
b1393,184|38|39|30|182,question,en,0.0,1.0,0.5,0.5
b7830,-1,question,en,0.0,1.0,0.5,0.5
b1307,181|185|31|32,question,en,0.0,1.0,0.5,0.5
b1308,184|31|32|185,question,en,0.0,1.0,0.5,0.5
b1309,185|184|34|35,question,en,0.0,1.0,0.5,0.5
b11413,74,question,en,0.0,1.0,0.5,0.5
b7826,-1,question,en,0.0,1.0,0.5,0.5
b7827,-1,question,en,0.0,1.0,0.5,0.5
b7828,-1,question,en,0.0,1.0,0.5,0.5
b7829,-1,question,en,0.0,1.0,0.5,0.5
b1302,183|184|34|35,question,en,0.0,1.0,0.5,0.5
b7831,-1,question,en,0.0,1.0,0.5,0.5
b7832,-1,question,en,0.0,1.0,0.5,0.5
b7833,-1,question,en,0.0,1.0,0.5,0.5
b7834,-1,question,en,0.0,1.0,0.5,0.5
b7835,-1,question,en,0.0,1.0,0.5,0.5
b7836,-1,question,en,0.0,1.0,0.5,0.5
b7837,-1,question,en,0.0,1.0,0.5,0.5
b1272,183|184|34|35,question,en,0.0,1.0,0.5,0.5
b7851,-1,question,en,0.0,1.0,0.5,0.5
b7852,-1,question,en,0.0,1.0,0.5,0.5
b7853,-1,question,en,0.0,1.0,0.5,0.5
b7854,-1,question,en,0.0,1.0,0.5,0.5
b7855,-1,question,en,0.0,1.0,0.5,0.5
b7856,-1,question,en,0.0,1.0,0.5,0.5
b7857,-1,question,en,0.0,1.0,0.5,0.5
b1270,181|182|33|24,question,en,0.0,1.0,0.5,0.5
b7838,-1,question,en,0.0,1.0,0.5,0.5
b1273,181|50|184|24,question,en,0.0,1.0,0.5,0.5
b1278,28|29|181|183,question,en,0.0,1.0,0.5,0.5
b1281,183|24|30|182|43,question,en,0.0,1.0,0.5,0.5
b1285,179|38|39|182|181,question,en,0.0,1.0,0.5,0.5
b1293,183|185|24|43,question,en,0.0,1.0,0.5,0.5
b1295,44|30|45|185|181,question,en,0.0,1.0,0.5,0.5
b1296,183|185|24|40,question,en,0.0,1.0,0.5,0.5
b7818,-1,question,en,0.0,1.0,0.5,0.5
b7810,-1,question,en,0.0,1.0,0.5,0.5
b7811,-1,question,en,0.0,1.0,0.5,0.5
b7812,-1,question,en,0.0,1.0,0.5,0.5
b7813,-1,question,en,0.0,1.0,0.5,0.5
b7814,-1,question,en,0.0,1.0,0.5,0.5
b7815,-1,question,en,0.0,1.0,0.5,0.5
b7816,-1,question,en,0.0,1.0,0.5,0.5
b7817,-1,question,en,0.0,1.0,0.5,0.5
b1338,28|184|181|37,question,en,0.0,1.0,0.5,0.5
b7819,-1,question,en,0.0,1.0,0.5,0.5
b7820,-1,question,en,0.0,1.0,0.5,0.5
b7821,-1,question,en,0.0,1.0,0.5,0.5
b7822,-1,question,en,0.0,1.0,0.5,0.5
b7823,-1,question,en,0.0,1.0,0.5,0.5
b7824,-1,question,en,0.0,1.0,0.5,0.5
b7825,-1,question,en,0.0,1.0,0.5,0.5
b8366,-1,question,en,0.0,1.0,0.5,0.5
b1337,181|42|34|185,question,en,0.0,1.0,0.5,0.5
b1333,179|183|24|23|185|25,question,en,0.0,1.0,0.5,0.5
b11404,71,question,en,0.0,1.0,0.5,0.5
b11403,72,question,en,0.0,1.0,0.5,0.5
b11398,88,question,en,0.0,1.0,0.5,0.5
b1326,183|35|30|34|185,question,en,0.0,1.0,0.5,0.5
b1325,38|39|30|185|181,question,en,0.0,1.0,0.5,0.5
b1324,181|185|24|40,question,en,0.0,1.0,0.5,0.5
b1321,28|29|184|185,question,en,0.0,1.0,0.5,0.5
b1318,41|183|181|24,question,en,0.0,1.0,0.5,0.5
b11424,80,question,en,0.0,1.0,0.5,0.5
b11421,77,question,en,0.0,1.0,0.5,0.5
b7841,-1,question,en,0.0,1.0,0.5,0.5
b7840,-1,question,en,0.0,1.0,0.5,0.5
b7839,-1,question,en,0.0,1.0,0.5,0.5
b6658,-1,question,en,0.0,1.0,0.5,0.5
b1613,183|184|57|52|56,question,en,0.0,1.0,0.5,0.5
b7404,78,question,en,0.0,1.0,0.5,0.5
b1740,179|185|181|56|52,question,en,0.0,1.0,0.5,0.5
b1742,181|56|185|54,question,en,0.0,1.0,0.5,0.5
b6659,-1,question,en,0.0,1.0,0.5,0.5
b7386,78,question,en,0.0,1.0,0.5,0.5
b7388,78,question,en,0.0,1.0,0.5,0.5
b7391,78,question,en,0.0,1.0,0.5,0.5
b7392,78,question,en,0.0,1.0,0.5,0.5
b7370,78,question,en,0.0,1.0,0.5,0.5
b7372,78,question,en,0.0,1.0,0.5,0.5
b1608,52|184|181|54,question,en,0.0,1.0,0.5,0.5
b6638,-1,question,en,0.0,1.0,0.5,0.5
b6639,-1,question,en,0.0,1.0,0.5,0.5
b6640,-1,question,en,0.0,1.0,0.5,0.5
b6641,-1,question,en,0.0,1.0,0.5,0.5
b6642,-1,question,en,0.0,1.0,0.5,0.5
b6643,-1,question,en,0.0,1.0,0.5,0.5
b7374,78,question,en,0.0,1.0,0.5,0.5
b1749,53|182|181|55|54,question,en,0.0,1.0,0.5,0.5
b1754,183|184,question,en,0.0,1.0,0.5,0.5
b8440,-1,question,en,0.0,1.0,0.5,0.5
b6656,-1,question,en,0.0,1.0,0.5,0.5
b6657,-1,question,en,0.0,1.0,0.5,0.5
b8442,-1,question,en,0.0,1.0,0.5,0.5
b8443,-1,question,en,0.0,1.0,0.5,0.5
b7366,78,question,en,0.0,1.0,0.5,0.5
b8439,-1,question,en,0.0,1.0,0.5,0.5
b6655,-1,question,en,0.0,1.0,0.5,0.5
b8441,-1,question,en,0.0,1.0,0.5,0.5
b6647,-1,question,en,0.0,1.0,0.5,0.5
b1626,52|183|53|182,question,en,0.0,1.0,0.5,0.5
b6644,-1,question,en,0.0,1.0,0.5,0.5
b6645,-1,question,en,0.0,1.0,0.5,0.5
b6646,-1,question,en,0.0,1.0,0.5,0.5
b6637,-1,question,en,0.0,1.0,0.5,0.5
b6648,-1,question,en,0.0,1.0,0.5,0.5
b6649,-1,question,en,0.0,1.0,0.5,0.5
b6650,-1,question,en,0.0,1.0,0.5,0.5
b6651,-1,question,en,0.0,1.0,0.5,0.5
b6652,-1,question,en,0.0,1.0,0.5,0.5
b6653,-1,question,en,0.0,1.0,0.5,0.5
b6654,-1,question,en,0.0,1.0,0.5,0.5
b1593,181|184|53|54,question,en,0.0,1.0,0.5,0.5
b8410,-1,question,en,0.0,1.0,0.5,0.5
b8411,-1,question,en,0.0,1.0,0.5,0.5
b8412,-1,question,en,0.0,1.0,0.5,0.5
b8413,-1,question,en,0.0,1.0,0.5,0.5
b8414,-1,question,en,0.0,1.0,0.5,0.5
b8415,-1,question,en,0.0,1.0,0.5,0.5
b8416,-1,question,en,0.0,1.0,0.5,0.5
b8426,-1,question,en,0.0,1.0,0.5,0.5
b8427,-1,question,en,0.0,1.0,0.5,0.5
b8428,-1,question,en,0.0,1.0,0.5,0.5
b8429,-1,question,en,0.0,1.0,0.5,0.5
b8430,-1,question,en,0.0,1.0,0.5,0.5
b8431,-1,question,en,0.0,1.0,0.5,0.5
b8433,-1,question,en,0.0,1.0,0.5,0.5
b8396,-1,question,en,0.0,1.0,0.5,0.5
b8397,-1,question,en,0.0,1.0,0.5,0.5
b8398,-1,question,en,0.0,1.0,0.5,0.5
b8399,-1,question,en,0.0,1.0,0.5,0.5
b8400,-1,question,en,0.0,1.0,0.5,0.5
b1587,179|183|184|53|52|54,question,en,0.0,1.0,0.5,0.5
b8432,-1,question,en,0.0,1.0,0.5,0.5
b8434,-1,question,en,0.0,1.0,0.5,0.5
b8435,-1,question,en,0.0,1.0,0.5,0.5
b8436,-1,question,en,0.0,1.0,0.5,0.5
b8437,-1,question,en,0.0,1.0,0.5,0.5
b8438,-1,question,en,0.0,1.0,0.5,0.5
b6629,-1,question,en,0.0,1.0,0.5,0.5
